"currentDate","currentTime","point0","point1","currentSpeed","freeFlowSpeed","currentTravelTime","freeFlowTravelTime","id"
"2022-10-08","16:30:36",19.0438,73.0273,53,53,1107,1107,94
"2022-10-08","16:30:36",18.9748,73.1242,32,44,787,573,95
"2022-10-08","16:30:36",19.0007,73.1299,78,78,455,455,96
"2022-10-08","16:30:36",19.0186,73.0283,48,48,648,648,97
"2022-10-08","16:30:36",18.9831,73.0809,28,28,1313,1313,98
"2022-10-08","16:30:36",18.9941,73.1148,32,44,787,573,99
"2022-10-08","16:30:36",19.0269,73.0939,53,53,1107,1107,100
"2022-10-08","16:30:36",18.9662,73.126,61,61,1722,1722,101
"2022-10-08","16:30:36",18.9645,73.131,55,55,1835,1835,102
"2022-10-08","16:45:36",18.9859,73.1198,23,23,214,214,103
"2022-10-08","16:45:36",18.9926,73.0957,57,57,295,295,104
"2022-10-08","16:45:36",18.9607,73.1655,47,47,169,169,105
"2022-10-08","16:45:36",18.9588,73.1594,49,49,50,50,106
"2022-10-08","16:45:36",18.9681,73.1316,71,71,136,136,107
"2022-10-08","16:45:36",18.9832,73.1008,26,29,435,390,108
"2022-10-08","16:45:36",19.0237,73.1059,30,39,447,343,109
"2022-10-08","16:45:36",18.9632,73.1425,27,36,312,234,110
"2022-10-08","16:45:36",19.0316,73.1053,30,39,447,343,111
"2022-10-08","16:45:36",18.9941,73.1148,32,44,787,573,112
"2022-10-08","16:45:36",19.0007,73.1299,78,78,455,455,113
"2022-10-08","16:45:36",18.9748,73.1242,32,44,787,573,114
"2022-10-08","16:45:36",18.9561,73.1617,50,53,957,903,115
"2022-10-08","16:45:36",18.9831,73.0809,28,28,1313,1313,116
"2022-10-08","16:45:36",19.0005,73.0337,48,48,648,648,117
"2022-10-08","16:45:36",19.0438,73.0273,53,53,1107,1107,118
"2022-10-08","16:45:36",19.0186,73.0283,48,48,648,648,119
"2022-10-08","16:45:36",18.9645,73.131,48,55,2103,1835,120
"2022-10-08","16:45:36",18.9662,73.126,61,61,1722,1722,121
"2022-10-08","16:45:36",19.0269,73.0939,53,53,1107,1107,122
"2022-10-08","17:00:36",18.9926,73.0957,57,57,295,295,123
"2022-10-08","17:00:36",18.9607,73.1655,47,47,169,169,124
"2022-10-08","17:00:36",19.0316,73.1053,31,40,432,335,125
"2022-10-08","17:00:36",18.9681,73.1316,71,71,136,136,126
"2022-10-08","17:00:36",18.9632,73.1425,27,35,312,240,127
"2022-10-08","17:00:36",18.9588,73.1594,49,49,50,50,128
"2022-10-08","17:00:36",19.0237,73.1059,31,40,432,335,129
"2022-10-08","17:00:36",18.9832,73.1008,24,29,471,390,130
"2022-10-08","17:00:36",18.9859,73.1198,15,23,329,214,131
"2022-10-08","17:00:36",19.0005,73.0337,48,48,648,648,132
"2022-10-08","17:00:36",19.0438,73.0273,53,53,1107,1107,133
"2022-10-08","17:00:36",18.9561,73.1617,53,53,903,903,134
"2022-10-08","17:00:36",18.9941,73.1148,36,44,700,573,135
"2022-10-08","17:00:36",18.9748,73.1242,36,44,700,573,136
"2022-10-08","17:00:36",19.0186,73.0283,48,48,648,648,137
"2022-10-08","17:00:36",19.0269,73.0939,53,53,1107,1107,138
"2022-10-08","17:00:36",18.9831,73.0809,28,28,1313,1313,139
